filename, language, Ruby, Markdown, YAML, JSON, JavaScript, HTML, Ruby ERB, XML, CSS, comment, blank, total
/Users/flatironschool/Development/code/mod5project/bugtracker/README.md, Markdown, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
/Users/flatironschool/Development/code/mod5project/bugtracker/back/README.md, Markdown, 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 12, 25
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/channels/application_cable/channel.rb, Ruby, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/channels/application_cable/connection.rb, Ruby, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/application_controller.rb, Ruby, 32, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 45
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/auth_controller.rb, Ruby, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 21
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/bugs_controller.rb, Ruby, 35, 0, 0, 0, 0, 0, 0, 0, 0, 8, 10, 53
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/projects_controller.rb, Ruby, 35, 0, 0, 0, 0, 0, 0, 0, 0, 5, 11, 51
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/user_bugs_controller.rb, Ruby, 35, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 45
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/user_projects_controller.rb, Ruby, 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 45
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/controllers/users_controller.rb, Ruby, 40, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 56
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/jobs/application_job.rb, Ruby, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/mailers/application_mailer.rb, Ruby, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/models/application_record.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/models/bug.rb, Ruby, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/models/project.rb, Ruby, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/models/user.rb, Ruby, 8, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 10
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/models/user_bug.rb, Ruby, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/models/user_project.rb, Ruby, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/serializers/user_serializer.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/views/layouts/mailer.html.erb, Ruby ERB, 0, 0, 0, 0, 0, 0, 11, 0, 0, 1, 2, 14
/Users/flatironschool/Development/code/mod5project/bugtracker/back/app/views/layouts/mailer.text.erb, Ruby ERB, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config.ru, Ruby, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 6
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/application.rb, Ruby, 18, 0, 0, 0, 0, 0, 0, 0, 0, 12, 6, 36
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/boot.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/cable.yml, YAML, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 3, 11
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/database.yml, YAML, 0, 0, 15, 0, 0, 0, 0, 0, 0, 61, 10, 86
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/environment.rb, Ruby, 2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 6
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/environments/development.rb, Ruby, 22, 0, 0, 0, 0, 0, 0, 0, 0, 17, 16, 55
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/environments/production.rb, Ruby, 20, 0, 0, 0, 0, 0, 0, 0, 0, 43, 23, 86
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/environments/test.rb, Ruby, 16, 0, 0, 0, 0, 0, 0, 0, 0, 19, 12, 47
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/application_controller_renderer.rb, Ruby, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 9
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/backtrace_silencers.rb, Ruby, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 3, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/cors.rb, Ruby, 8, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 17
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/filter_parameter_logging.rb, Ruby, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 5
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/inflections.rb, Ruby, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 3, 17
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/mime_types.rb, Ruby, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 5
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/wrap_parameters.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 8, 4, 15
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/locales/en.yml, YAML, 0, 0, 2, 0, 0, 0, 0, 0, 0, 30, 2, 34
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/puma.rb, Ruby, 5, 0, 0, 0, 0, 0, 0, 0, 0, 24, 6, 35
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/routes.rb, Ruby, 9, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 11
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/spring.rb, Ruby, 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7
/Users/flatironschool/Development/code/mod5project/bugtracker/back/config/storage.yml, YAML, 0, 0, 6, 0, 0, 0, 0, 0, 0, 23, 6, 35
/Users/flatironschool/Development/code/mod5project/bugtracker/back/db/migrate/20191101162927_create_users.rb, Ruby, 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
/Users/flatironschool/Development/code/mod5project/bugtracker/back/db/migrate/20191101165155_create_projects.rb, Ruby, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
/Users/flatironschool/Development/code/mod5project/bugtracker/back/db/migrate/20191101165711_create_bugs.rb, Ruby, 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
/Users/flatironschool/Development/code/mod5project/bugtracker/back/db/migrate/20191101165734_create_user_bugs.rb, Ruby, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
/Users/flatironschool/Development/code/mod5project/bugtracker/back/db/migrate/20191101204216_create_user_projects.rb, Ruby, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11
/Users/flatironschool/Development/code/mod5project/bugtracker/back/db/schema.rb, Ruby, 46, 0, 0, 0, 0, 0, 0, 0, 0, 12, 9, 67
/Users/flatironschool/Development/code/mod5project/bugtracker/back/db/seeds.rb, Ruby, 53, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 64
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/auth_controller_test.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/bugs_controller_test.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/projects_controller_test.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/user_bugs_controller_test.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/user_projects_controller_test.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/users_controller_test.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/fixtures/bugs.yml, YAML, 0, 0, 18, 0, 0, 0, 0, 0, 0, 1, 3, 22
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/fixtures/projects.yml, YAML, 0, 0, 8, 0, 0, 0, 0, 0, 0, 1, 3, 12
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/fixtures/user_bugs.yml, YAML, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 3, 10
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/fixtures/user_projects.yml, YAML, 0, 0, 6, 0, 0, 0, 0, 0, 0, 1, 3, 10
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/fixtures/users.yml, YAML, 0, 0, 10, 0, 0, 0, 0, 0, 0, 1, 3, 14
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/models/bug_test.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/models/project_test.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/models/user_bug_test.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/models/user_project_test.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/models/user_test.rb, Ruby, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 8
/Users/flatironschool/Development/code/mod5project/bugtracker/back/test/test_helper.rb, Ruby, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 11
/Users/flatironschool/Development/code/mod5project/bugtracker/front/README.md, Markdown, 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 32, 69
/Users/flatironschool/Development/code/mod5project/bugtracker/front/package-lock.json, JSON, 0, 0, 0, 12784, 0, 0, 0, 0, 0, 0, 1, 12785
/Users/flatironschool/Development/code/mod5project/bugtracker/front/package.json, JSON, 0, 0, 0, 42, 0, 0, 0, 0, 0, 0, 1, 43
/Users/flatironschool/Development/code/mod5project/bugtracker/front/public/index.html, HTML, 0, 0, 0, 0, 0, 20, 0, 0, 0, 23, 1, 44
/Users/flatironschool/Development/code/mod5project/bugtracker/front/public/manifest.json, JSON, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 26
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/App.js, JavaScript, 0, 0, 0, 0, 128, 0, 0, 0, 0, 2, 12, 142
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/App.test.js, JavaScript, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 2, 10
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/DataSheet.js, JavaScript, 0, 0, 0, 0, 651, 0, 0, 0, 0, 13, 86, 750
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/About.js, JavaScript, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/AssignedBugs.js, JavaScript, 0, 0, 0, 0, 314, 0, 0, 0, 0, 7, 18, 339
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/AssignedToDropdown.js, JavaScript, 0, 0, 0, 0, 60, 0, 0, 0, 0, 36, 9, 105
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Bug.js, JavaScript, 0, 0, 0, 0, 198, 0, 0, 0, 0, 4, 20, 222
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/BugContainer.js, JavaScript, 0, 0, 0, 0, 56, 0, 0, 0, 0, 0, 4, 60
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/BugList.js, JavaScript, 0, 0, 0, 0, 103, 0, 0, 0, 0, 3, 4, 110
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/BugTracker.js, JavaScript, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 8, 26
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/ButtonBar.js, JavaScript, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 11, 52
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Contact.js, JavaScript, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Home.js, JavaScript, 0, 0, 0, 0, 78, 0, 0, 0, 0, 0, 3, 81
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/LoginForm.js, JavaScript, 0, 0, 0, 0, 59, 0, 0, 0, 0, 0, 16, 75
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Navbar.js, JavaScript, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 12, 44
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/NewBug.js, JavaScript, 0, 0, 0, 0, 31, 0, 0, 0, 0, 0, 11, 42
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/NewProject.js, JavaScript, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 13, 40
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/PriorityDropdown.js, JavaScript, 0, 0, 0, 0, 37, 0, 0, 0, 0, 7, 5, 49
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Project.js, JavaScript, 0, 0, 0, 0, 66, 0, 0, 0, 0, 135, 15, 216
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/ProjectContainer.js, JavaScript, 0, 0, 0, 0, 350, 0, 0, 0, 0, 1, 21, 372
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/ProjectList.js, JavaScript, 0, 0, 0, 0, 52, 0, 0, 0, 0, 6, 5, 63
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/ProjectSearch.js, JavaScript, 0, 0, 0, 0, 18, 0, 0, 0, 0, 1, 5, 24
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Row.js, JavaScript, 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 3, 39
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/Search.js, JavaScript, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 5, 24
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/SignUp.js, JavaScript, 0, 0, 0, 0, 88, 0, 0, 0, 0, 18, 22, 128
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/StatusDropdown.js, JavaScript, 0, 0, 0, 0, 47, 0, 0, 0, 0, 9, 5, 61
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/TabBar.js, JavaScript, 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 3, 44
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/components/TabItem.js, JavaScript, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/App.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 15, 0, 4, 19
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/BugContainer.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 0, 5
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/LoginForm.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 2, 10
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/Project.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 25, 7, 5, 37
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/TabBar.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 1, 12
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/css/index.css, CSS, 0, 0, 0, 0, 0, 0, 0, 0, 5, 13, 1, 19
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/index.js, JavaScript, 0, 0, 0, 0, 8, 0, 0, 0, 0, 3, 3, 14
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/logo.svg, XML, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
/Users/flatironschool/Development/code/mod5project/bugtracker/front/src/serviceWorker.js, JavaScript, 0, 0, 0, 0, 92, 0, 0, 0, 0, 31, 13, 136
Total, -, 585, 51, 79, 12851, 2685, 20, 12, 1, 53, 699, 654, 17690